Ana Miguel,F,16
Laura Isabel,F,16
Vitória Sofia,F,16
Alícia Sofia,F,16
Clara Isabel,F,16
Luísa Maria,F,16
Ana Raquel,F,16
Iara Filipa,F,16
Maria José,F,16
Raul,M,15
Patrick,M,15
Francisco Luís,M,15
David Filipe,M,15
Miguel José,M,15
Gustavo Manuel,M,15
Rúben Filipe,M,15
Dinis Afonso,M,15
Rodrigo Daniel,M,15
João Henrique,M,15
Dinis Manuel,M,15
Afonso Duarte,M,15
Afonso Daniel,M,15
João Salvador,M,15
Ricardo Filipe,M,15
José Francisco,M,15
Miguel Afonso,M,15
Filipe Alexandre,M,15
Viviane,F,15
Cíntia,F,15
Frederica,F,15
Rute,F,15
Eva Maria,F,15
Sara Isabel,F,15
Daniela Filipa,F,15
Maria da Luz,F,15
Diana Isabel,F,15
Benedita Maria,F,15
Maria do Rosário,F,15
Edson,M,14
Adriano,M,14
Vicente José,M,14
Eduardo Filipe,M,14
Francisco Duarte,M,14
Diogo Maria,M,14
João Martim,M,14
Martim André,M,14
Afonso Gabriel,M,14
Sebastião Maria,M,14
David Manuel,M,14
José Afonso,M,14
Lourenço Filipe,M,14
Tiago Daniel,M,14
João Gonçalo,M,14
João Bernardo,M,14
Eduardo José,M,14
Bernardo José,M,14
Miguel João,M,14
Gonçalo Daniel,M,14
Diogo Martim,M,14
Diogo Henrique,M,14
Luz,F,14
Magda,F,14
Antónia,F,14
Neuza,F,14
Tamára,F,14
Marina,F,14
Ana Júlia,F,14
Joana Rita,F,14
Ema Maria,F,14
Sofia Margarida,F,14
Alexandru,M,13
Kelvin,M,13
Estêvão,M,13
Caetano,M,13
Gerson,M,13
Danilo,M,13
João Rafael,M,13
Pedro Santiago,M,13
Pedro Francisco,M,13
Vasco Filipe,M,13
Pedro Gabriel,M,13
Tiago Dinis,M,13
Rodrigo André,M,13
Tomás José,M,13
Luís Afonso,M,13
Micael Alexandre,M,13
Mateus Filipe,M,13
Lourenço José,M,13
Vicente Manuel,M,13
Naíma,F,13
Dalila,F,13
Samira,F,13
Jade,F,13
Angélica,F,13
Angelina,F,13
Milena,F,13
Amália,F,13
Mariama,F,13
Luana Beatriz,F,13
Sara Alexandra,F,13
Yara Maria,F,13
Nicole Alexandra,F,13
Gabriela Filipa,F,13
Letícia Alexandra,F,13
Teresa Maria,F,13
Diana Alexandra,F,13
Benjamin,M,12
Davide,M,12
Roberto,M,12
Luciano,M,12
Leonel,M,12
Alexander,M,12
Thomas,M,12
Andrei,M,12
Francisco Gabriel,M,12
Francisco Daniel,M,12
Guilherme André,M,12
Leonardo José,M,12
Guilherme Luís,M,12
Paulo Jorge,M,12
Afonso Martim,M,12
Martim Afonso,M,12
Gustavo José,M,12
Bruno Alexandre,M,12
Pedro José,M,12
Santiago Rafael,M,12
Tomás Afonso,M,12
José Filipe,M,12
Santiago Maria,M,12
Isaac Filipe,M,12
Manel Maria,M,12
Manuel Francisco,M,12
Santiago Dinis,M,12
Leandro Rafael,M,12
Francisco Alexandre,M,12
António José,M,12
João David,M,12
Afonso Alexandre,M,12
Henrique José,M,12
Cármen,F,12
Manuela,F,12
Sophie,F,12
Lisandra,F,12
Sandra,F,12
Samara,F,12
Riana,F,12
Mayra,F,12
Elsa,F,12
Sheila,F,12
Valéria,F,12
Maira,F,12
Nina,F,12
Bruna Alexandra,F,12
Inês Alexandra,F,12
Débora Sofia,F,12
Núria Maria,F,12
Rafaela Sofia,F,12
Catarina Sofia,F,12
Lara Cristina,F,12
Núria Filipa,F,12
Maria Caetana,F,12
Ana Teresa,F,12
Inês Margarida,F,12
Rita Sofia,F,12
Daniela Alexandra,F,12
Filipa Alexandra,F,12
Yasmin Sofia,F,12
Adriel,M,11
Jair,M,11
Jonas,M,11
Cauã,M,11
Sebastian,M,11
Ari,M,11
Ezequiel,M,11
Abel,M,11
Alberto,M,11
Nathan,M,11
Adrian,M,11
Bernardo Filipe,M,11
Fábio Miguel,M,11
Salvador Dinis,M,11
Mateus Alexandre,M,11
Francisco Xavier,M,11
António Luís,M,11
Carlos Rafael,M,11
Rafael Dinis,M,11
Miguel Duarte,M,11
Martim Duarte,M,11
Rodrigo Dinis,M,11
David João,M,11
Lucas Daniel,M,11
Afonso Rafael,M,11
Ricardo Alexandre,M,11
Lourenço Maria,M,11
Carlos Alexandre,M,11
Ricardo José,M,11
Sabrina,F,11
Maya,F,11
Taísa,F,11
Lisa,F,11
Tamara,F,11
Giovana,F,11
Naísa,F,11
Esperança,F,11
Alicia,F,11
Jénifer,F,11
Ariana Maria,F,11
Lara Margarida,F,11
Tatiana Sofia,F,11
Sofia Filipa,F,11
Joana Beatriz,F,11
Maria Pedro,F,11
Lara Matilde,F,11
Maria Alice,F,11
Rafaela Alexandra,F,11
Kyara Filipa,F,11
Nicole Sofia,F,11
Catarina Maria,F,11
Mariana Alexandra,F,11
Jéssica Alexandra,F,11
Camila Maria,F,11
Ana Matilde,F,11
Letícia Filipa,F,11
Ary,M,10
Darius,M,10
Raphael,M,10
Rogério,M,10
Samir,M,10
Erick,M,10
Maurício,M,10
James,M,10
Martim Daniel,M,10
Kévim Miguel,M,10
João Vicente,M,10
José Henrique,M,10
Guilherme Afonso,M,10
Lourenço Manuel,M,10
Francisco Jorge,M,10
Pedro Emanuel,M,10
